1,0,26115,184
2,1000,157519,845
3,2000,266798,1387
4,3000,338613,1735
5,4000,362880,1838
6,5000,336171,1684
7,6000,262240,1293
8,7000,151486,720
9,8000,19465,46
10,9000,-115293,-633
11,10000,-233872,-1225
12,11000,-319601,-1644
13,12000,-360432,-1833
14,13000,-350640,-1764
15,14000,-291612,-1447
16,15000,-191633,-927
17,16000,-64730,-276
18,17000,71269,412
19,18000,197253,1043
20,19000,295525,1528
21,20000,352297,1798
22,21000,359598,1815
23,22000,316391,1578
24,23000,228739,1118
25,24000,108962,502
26,25000,-26108,-184
27,26000,-157511,-845
28,27000,-266801,-1387
29,28000,-338623,-1735
30,29000,-362879,-1838
31,30000,-336164,-1684
32,31000,-262241,-1293
33,32000,-151494,-720
34,33000,-19467,-46
35,34000,115301,633
36,35000,233875,1225
37,36000,319593,1644
38,37000,360426,1833
39,38000,350646,1763
40,39000,291620,1447
41,40000,191629,927
42,41000,64721,276
43,42000,-71269,-412
44,43000,-197246,-1043
45,44000,-295525,-1528
46,45000,-352304,-1798
47,46000,-359600,-1815
48,47000,-316385,-1578
49,48000,-228736,-1119
50,49000,-108968,-502
51,50000,26103,184
52,51000,157515,845
53,52000,266807,1387
54,53000,338620,1735
55,54000,362871,1838
56,55000,336164,1684
57,56000,262248,1293
58,57000,151496,720
59,58000,19461,46
60,59000,-115304,-633
61,60000,-233870,-1225
62,61000,-319590,-1644
63,62000,-360430,-1833
64,63000,-350650,-1763
65,64000,-291616,-1447
66,65000,-191624,-927
67,66000,-64724,-276
68,67000,71263,412
69,68000,197246,1043
70,69000,295530,1528
71,70000,352305,1798
72,71000,359595,1815
73,72000,316382,1578
74,73000,228740,1118
75,74000,108971,502
76,75000,-26107,-184
77,76000,-157519,-845
78,77000,-266804,-1387
79,78000,-338616,-1735
80,79000,-362873,-1838
81,80000,-336169,-1684
82,81000,-262248,-1293
83,82000,-151491,-720
84,83000,-19460,-46
85,84000,115300,633
86,85000,233867,1225
87,86000,319593,1644
88,87000,360433,1833
89,88000,350647,1763
90,89000,291613,1447
91,90000,191626,927
92,91000,64727,276
93,92000,-71264,-412
94,93000,-197250,-1043
95,94000,-295531,-1528
96,95000,-352301,-1798
97,96000,-359594,-1815
98,97000,-316386,-1578
99,98000,-228742,-1118
100,99000,-108968,-502
101,100000,26109,184
102,101000,157517,845
103,102000,266801,1387
104,103000,338617,1735
105,104000,362876,1838
106,105000,336168,1684
107,106000,262244,1293
108,107000,151490,720
109,108000,19463,46
110,109000,-115298,-633
111,110000,-233870,-1225
112,111000,-319595,-1644
113,112000,-360431,-1833
114,113000,-350645,-1763
115,114000,-291614,-1447
116,115000,-191629,-927
117,116000,-64727,-276
118,117000,71267,412
119,118000,197250,1043
120,119000,295528,1528
121,120000,352301,1798
122,121000,359597,1815
123,122000,316387,1578
124,123000,228740,1118
125,124000,108966,502
126,125000,-26107,-184
127,126000,-157515,-845
128,127000,-266803,-1387
129,128000,-338619,-1735
130,129000,-362876,-1838
131,130000,-336166,-1684
132,131000,-262244,-1293
133,132000,-151493,-720
134,133000,-19463,-46
135,134000,115301,633
136,135000,233871,1225
137,136000,319593,1644
138,137000,360429,1833
139,138000,350646,1763
140,139000,291616,1447
141,140000,191628,927
142,141000,64724,276
143,142000,-71267,-412
144,143000,-197248,-1043
145,144000,-295528,-1528
146,145000,-352303,-1798
147,146000,-359597,-1815
148,147000,-316386,-1578
149,148000,-228739,-1118
150,149000,-108968,-502
151,150000,26106,184
152,151000,157516,845
153,152000,266804,1387
154,153000,338619,1735
155,154000,362874,1838
156,155000,336166,1684
157,156000,262246,1293
158,157000,151493,720
159,158000,19462,46
160,159000,-115301,-633
161,160000,-233870,-1225
162,161000,-319592,-1644
163,162000,-360431,-1833
164,163000,-350648,-1763
165,164000,-291615,-1447
166,165000,-191626,-927
167,166000,-64725,-276
168,167000,71265,412
169,168000,197248,1043
170,169000,295529,1528
171,170000,352303,1798
172,171000,359596,1815
173,172000,316385,1578
174,173000,228740,1118
175,174000,108969,502
176,175000,-26107,-184
177,176000,-157517,-845
178,177000,-266804,-1387
179,178000,-338617,-1735
180,179000,-362874,-1838
181,180000,-336167,-1684
182,181000,-262246,-1293
183,182000,-151492,-720
184,183000,-19461,-46
185,184000,115300,633
186,185000,233869,1225
187,186000,319593,1644
188,187000,360431,1833
189,188000,350647,1763
190,189000,291614,1447
191,190000,191627,927
192,191000,64726,276
193,192000,-71265,-412
